,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,用水类型,用电类型,燃气价格,卧室数,客厅数,卫生间数,楼层位置,总层数,得房率,是否有抵押,抵押金额,是否地铁,临近地铁站,是否电梯,产权类型
1861,云上金铭府,富阳区,富春,nan,145,15179,2025-04-26,商品房,2023-01-30,普通住宅,满两年,非共有,有抵押140万元,已上传房本照片,3室2厅1厨2卫,低楼层(共26层),95.53,平层,69.42,板楼,南,钢混结构,精装,nan,nan,nan,nan,nan,nan,3,2,2,1,26,0.7266827174709516,1,140.0,0,0,0.0,0
1862,云水山居,富阳区,银湖科技城,nan,255,12496,2024-11-30,商品房,2019-06-11,普通住宅,满五年,共有,无抵押,已上传房本照片,4室2厅1厨2卫,高楼层(共11层),204.08,跃层,69.42,板楼,南,钢混结构,精装,两梯两户,有,nan,nan,nan,nan,4,2,2,3,11,0.3401607212857703,0,0.0,0,0,1.0,1
1863,逸城,富阳区,东洲,nan,210,13993,2023-05-03,商品房,2015-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,4室2厅1厨2卫,中楼层(共4层),150.08,平层,69.42,板楼,南北,钢混结构,毛坯,nan,无,nan,nan,nan,nan,4,2,2,2,4,0.46255330490405117,0,0.0,0,0,0.0,0
1864,富春新天地,富阳区,富春,nan,52,14849,2022-06-14,商品房,2020-11-03,商住两用,满两年,共有,有抵押,已上传房本照片,1室1厅1厨1卫,低楼层(共20层),35.02,跃层,69.42,板塔结合,南,钢混结构,精装,两梯二十四户,有,nan,商水,商电,nan,1,1,1,1,20,1.9822958309537406,1,0.0,0,0,1.0,1
1865,鹳山社区邮舍弄,富阳区,富春,nan,80,13882,2024-03-22,商品房,2010-03-03,普通住宅,满五年,非共有,有抵押,已上传房本照片,2室1厅1厨1卫,高楼层(共6层),57.63,平层,69.42,板楼,南,砖混结构,简装,nan,无,nan,nan,nan,nan,2,1,1,3,6,1.204580947423217,1,0.0,0,0,0.0,0
1866,杭黄社区云川未来城,富阳区,江南新城,nan,153,11334,2025-03-17,商品房,2025-03-17,普通住宅,未满两年,非共有,无抵押,已上传房本照片,4室2厅1厨2卫,高楼层(共18层),135.0,平层,69.42,塔楼,南,未知结构,精装,nan,nan,nan,nan,nan,nan,4,2,2,3,18,0.5142222222222222,0,0.0,0,0,0.0,0
1867,天创园,富阳区,银湖科技城,近地铁6号线(杭富线)野生动物园东站,500,20214,2024-02-20,商品房,2021-03-26,商住两用,满两年,共有,有抵押,已上传房本照片,5室1厅1厨3卫,低楼层(共3层),247.36,复式,69.42,nan,西南,钢混结构,毛坯,nan,无,nan,未知,未知,nan,5,1,3,1,3,0.280643596377749,1,0.0,1,野生动物园东站,0.0,1
1868,阳光城山水悦江府,富阳区,鹿山新城,nan,170,17818,2024-04-07,商品房,2022-07-01,普通住宅,满两年,非共有,有抵押,已上传房本照片,3室2厅1厨2卫,低楼层(共26层),95.41,平层,69.42,塔楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,1,26,0.7275966879781994,1,0.0,0,0,1.0,0
1869,宋都怀石雅苑,富阳区,东洲,nan,240,18246,2024-03-09,商品房,2024-03-12,别墅,未满两年,非共有,有抵押40万元业主自还,已上传房本照片,4室2厅1厨2卫,中楼层(共8层),131.54,nan,69.42,nan,南,钢混结构,毛坯,nan,nan,nan,nan,nan,nan,4,2,2,2,8,0.5277482134711875,1,40.0,0,0,0.0,0
1870,山水如画,富阳区,富春,nan,170,20083,2024-01-29,商品房,2020-01-14,普通住宅,满五年,共有,有抵押,已上传房本照片,3室2厅1厨1卫,中楼层(共26层),84.65,平层,69.42,平房,南,钢混结构,毛坯,两梯四户,有,nan,nan,nan,nan,3,2,1,2,26,0.8200826934435912,1,0.0,0,0,1.0,1
1871,秦忆荣府南区,富阳区,富春,nan,170,15355,2022-06-28,商品房,2022-05-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,中楼层(共22层),110.72,平层,69.42,nan,南,钢混结构,毛坯,nan,nan,nan,nan,nan,nan,3,2,2,2,22,0.6269869942196532,0,0.0,0,0,0.0,0
1872,澳海澜庭,富阳区,富阳,nan,300,19517,2022-07-22,商品房,2020-01-07,别墅,满五年,非共有,无抵押,已上传房本照片,4室2厅1厨4卫,低楼层(共3层),153.72,nan,69.42,nan,南,钢混结构,毛坯,nan,nan,nan,nan,nan,nan,4,2,4,1,3,0.45160031225604996,0,0.0,0,0,0.0,0
1873,颐景山庄,富阳区,银湖科技城,nan,350,20980,2024-08-20,商品房,2020-08-14,普通住宅,满两年,共有,有抵押,已上传房本照片,4室2厅1厨2卫,中楼层(共4层),166.83,跃层,69.42,板塔结合,南,钢混结构,简装,nan,无,nan,nan,nan,nan,4,2,2,2,4,0.4161122100341665,1,0.0,0,0,0.0,1
1874,鹿山时代,富阳区,富阳,nan,180,28718,2025-02-09,商品房,2021-12-01,商住两用,满两年,共有,无抵押,已上传房本照片,3室2厅1厨2卫,高楼层(共9层),62.68,跃层,69.42,板楼,南,钢混结构,其他,四梯三十四户,有,nan,商水,商电,3.1元/m3,3,2,2,3,9,1.1075303126994256,0,0.0,0,0,1.0,1
1875,绿城桂语映月,富阳区,银湖科技城,nan,228,23773,2023-12-05,商品房,2023-02-15,普通住宅,满两年,非共有,有抵押70,已上传房本照片,3室2厅1厨2卫,低楼层(共18层),95.91,平层,69.42,塔楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,1,18,0.7238035658429778,1,0.0,0,0,1.0,0
1876,富春新天地,富阳区,富春,nan,76,20891,2022-11-05,商品房,2021-05-24,商住两用,满两年,非共有,无抵押,已上传房本照片,1室1厅1厨1卫,中楼层(共20层),36.38,跃层,69.42,板塔结合,东,钢混结构,精装,两梯二十四户,有,nan,商水,商电,nan,1,1,1,2,20,1.908191313908741,0,0.0,0,0,1.0,0
1877,逸城,富阳区,东洲,nan,210,15730,2021-05-10,商品房,2018-07-11,普通住宅,满五年,共有,有抵押0万元0业主自还,已上传房本照片,3室2厅1厨2卫,高楼层(共11层),133.51,平层,69.42,板楼,南,框架结构,精装,一梯两户,有,nan,nan,nan,nan,3,2,2,3,11,0.5199610516066213,1,0.0,0,0,1.0,1
1878,野风秋雅,富阳区,银湖科技城,nan,205,16382,2023-09-23,商品房,2018-06-19,普通住宅,满五年,共有,无抵押,已上传房本照片,4室2厅1厨2卫,低楼层(共24层),125.14,平层,69.42,板塔结合,东南,钢混结构,毛坯,两梯四户,有,nan,nan,nan,nan,4,2,2,1,24,0.554738692664216,0,0.0,0,0,1.0,1
1879,泊金湾,富阳区,富春,近地铁6号线(杭富线)桂花西路站,160,13252,2024-12-18,商品房,2024-12-18,普通住宅,未满两年,共有,无抵押,已上传房本照片,3室2厅1厨2卫,高楼层(共18层),120.74,平层,69.42,塔楼,南,框架结构,其他,两梯两户,有,nan,nan,nan,nan,3,2,2,3,18,0.574954447573298,0,0.0,1,桂花西路站,1.0,1
1880,澜沁臻品府北区,富阳区,富春,近地铁6号线(杭富线)公望街站,189,11812,2024-08-16,回迁房,2024-07-22,普通住宅,未满两年,非共有,无抵押,已上传房本照片,4室2厅1厨2卫,中楼层(共18层),160.02,平层,69.42,nan,南,未知结构,毛坯,nan,nan,nan,nan,nan,nan,4,2,2,2,18,0.4338207724034496,0,0.0,1,公望街站,0.0,0
1881,和昌云栖玖著,富阳区,银湖科技城,近地铁6号线(杭富线)野生动物园东站,205,22890,2024-09-18,商品房,2021-05-12,普通住宅,满两年,共有,有抵押140万元,已上传房本照片,3室2厅1厨2卫,高楼层(共11层),89.56,平层,69.42,板楼,西南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,3,11,0.7751228226887004,1,140.0,1,野生动物园东站,1.0,1
1882,华庭云顶,富阳区,银湖科技城,nan,109,9274,2024-09-07,商品房,2005-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,低楼层(共19层),117.54,平层,69.42,板楼,东南,钢混结构,简装,两梯四户,有,nan,nan,nan,nan,3,2,2,1,19,0.5906074527820316,0,0.0,0,0,1.0,0
1883,宋都春上雅庐,富阳区,东洲,nan,200,15190,2023-02-14,商品房,2022-07-25,普通住宅,满两年,非共有,有抵押业主自还,已上传房本照片,4室2厅1厨2卫,中楼层(共8层),131.67,跃层,69.42,平房,北南,钢混结构,毛坯,一梯两户,有,nan,nan,nan,nan,4,2,2,2,8,0.5272271588061063,1,0.0,0,0,1.0,0
1884,碧桂园铂玺湾,富阳区,银湖科技城,nan,200,22359,2023-03-23,商品房,2023-03-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,高楼层(共23层),89.45,平层,69.42,板塔结合,南,混合结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,3,23,0.7760760201229737,0,0.0,0,0,1.0,0
1885,麓园,富阳区,银湖科技城,近地铁6号线(杭富线)银湖站,460,20002,2023-09-14,商品房,2023-01-16,普通住宅,满两年,共有,无抵押,已上传房本照片,4室2厅1厨4卫,中楼层(共6层),229.98,平层,69.42,板塔结合,南,钢混结构,毛坯,一梯一户,有,nan,nan,nan,nan,4,2,4,2,6,0.30185233498565095,0,0.0,1,银湖站,1.0,1
1886,中水花苑,富阳区,富春,nan,130,13471,2024-07-22,商品房,2017-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,3室2厅1厨1卫,中楼层(共6层),96.51,平层,69.42,板塔结合,南,框架结构,精装,nan,无,nan,nan,nan,nan,3,2,1,2,6,0.719303699098539,0,0.0,0,0,0.0,0
1887,峰华花苑,富阳区,银湖科技城,nan,193,12159,2024-06-19,商品房,2017-05-04,普通住宅,满五年,非共有,有抵押,已上传房本照片,4室2厅1厨2卫,高楼层(共11层),158.74,平层,69.42,板楼,南,钢混结构,简装,两梯三户,有,nan,nan,nan,nan,4,2,2,3,11,0.4373188862290538,1,0.0,0,0,1.0,0
1888,颐景山庄,富阳区,银湖科技城,nan,158,10750,2024-03-07,商品房,2007-09-30,普通住宅,满五年,共有,无抵押,已上传房本照片,3室1厅1厨2卫,高楼层(共16层),146.98,平层,69.42,板塔结合,南西南西,钢混结构,精装,两梯两户,有,nan,nan,nan,nan,3,1,2,3,16,0.4723091577085318,0,0.0,0,0,1.0,1
1889,云水山居,富阳区,银湖科技城,nan,166,14245,2024-06-18,商品房,2021-01-29,普通住宅,满两年,非共有,有抵押,已上传房本照片,4室2厅1厨2卫,中楼层(共16层),116.54,平层,69.42,塔楼,西南,钢混结构,简装,两梯四户,有,nan,nan,nan,nan,4,2,2,2,16,0.5956753046164407,1,0.0,0,0,1.0,0
1890,富春水岸,富阳区,江南新城,nan,100,9391,2021-01-13,商品房,2020-06-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,低楼层(共20层),106.49,平层,69.42,板塔结合,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,1,20,0.651892196450371,0,0.0,0,0,1.0,0
1891,野风秋雅,富阳区,银湖科技城,nan,115,18240,2023-10-17,商品房,2019-06-25,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,高楼层(共24层),63.05,平层,69.42,板塔结合,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,2,2,1,3,24,1.1010309278350516,1,0.0,0,0,1.0,1
1892,澳海云樾赋,富阳区,富阳,nan,65,6501,2024-08-22,商品房,2024-08-21,普通住宅,未满两年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,低楼层(共18层),99.99,平层,69.42,nan,南,未知结构,毛坯,nan,nan,nan,nan,nan,nan,3,2,2,1,18,0.6942694269426943,0,0.0,0,0,0.0,0
1893,逸城,富阳区,东洲,nan,576,27827,2022-10-04,商品房,2016-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,5室2厅1厨4卫,低楼层(共3层),207.0,跃层,69.42,板楼,南北,砖混结构,毛坯,nan,nan,nan,nan,nan,nan,5,2,4,1,3,0.3353623188405797,0,0.0,0,0,0.0,0
1894,阳光城西郊半岛妙得阁,富阳区,富春,nan,128,11984,2024-03-18,商品房,2017-11-01,普通住宅,满五年,共有,有抵押60万元,已上传房本照片,3室2厅1厨1卫,高楼层(共30层),106.81,平层,69.42,板楼,南,钢混结构,毛坯,两梯四户,有,nan,nan,nan,nan,3,2,1,3,30,0.6499391442748806,1,60.0,0,0,1.0,1
1895,九龙仓雍景山,富阳区,银湖科技城,nan,228,18633,2024-08-23,商品房,2017-06-14,普通住宅,满五年,共有,无抵押,已上传房本照片,3室1厅1厨3卫,中楼层(共5层),122.37,跃层,69.42,板塔结合,南,钢混结构,精装,十梯四户,有,nan,nan,nan,nan,3,1,3,2,5,0.5672959058592792,0,0.0,0,0,1.0,1
1896,碧桂园万科悦望名邸,富阳区,东洲,nan,220,22813,2024-05-31,商品房,2023-05-12,普通住宅,未满两年,共有,无抵押,已上传房本照片,3室2厅1厨2卫,中楼层(共7层),96.44,平层,69.42,板楼,东南,钢混结构,精装,两梯八户,有,nan,nan,nan,nan,3,2,2,2,7,0.7198257984238905,0,0.0,0,0,1.0,1
1897,银湖宸语,富阳区,银湖科技城,nan,220,23066,2023-10-20,商品房,2023-10-01,普通住宅,未满两年,非共有,有抵押,已上传房本照片,3室2厅1厨2卫,中楼层(共23层),95.38,平层,69.42,板楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,2,23,0.7278255399454813,1,0.0,0,0,1.0,0
1898,泰禾野风大城小院,富阳区,银湖科技城,nan,126,14340,2024-03-29,商品房,2024-01-26,普通住宅,未满两年,非共有,有抵押,已上传房本照片,3室2厅1厨1卫,高楼层(共23层),87.87,平层,69.42,板楼,南,框架结构,精装,nan,nan,nan,nan,nan,nan,3,2,1,3,23,0.790030727210652,1,0.0,0,0,0.0,0
1899,香溢花园,富阳区,富春,nan,220,12508,2024-05-15,商品房,2018-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,4室2厅1厨2卫,高楼层(共6层),175.9,跃层,69.42,塔楼,南,钢混结构,简装,nan,无,nan,nan,nan,nan,4,2,2,3,6,0.3946560545764639,0,0.0,0,0,0.0,0
1900,野风春晓,富阳区,银湖科技城,nan,90,18857,2024-05-10,商品房,2019-12-20,普通住宅,满五年,共有,有抵押65万元,已上传房本照片,1室1厅1厨1卫,高楼层(共24层),47.73,平层,69.42,板楼,南,钢混结构,精装,一梯七户,有,nan,nan,nan,nan,1,1,1,3,24,1.454431175361408,1,65.0,0,0,1.0,1
1901,中交保利江语云城,富阳区,江南新城,nan,165,16842,2024-05-24,商品房,2024-05-24,普通住宅,未满两年,非共有,有抵押,已上传房本照片,3室2厅1厨2卫,中楼层(共25层),97.97,平层,69.42,板塔结合,南北,未知结构,毛坯,nan,nan,nan,nan,nan,nan,3,2,2,2,25,0.7085842604879045,1,0.0,0,0,0.0,0
1902,五月香山,富阳区,银湖科技城,近地铁6号线(杭富线)野生动物园东站,188,12978,2022-08-23,商品房,2007-10-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,低楼层(共11层),144.87,平层,69.42,板楼,南北,钢混结构,精装,一梯两户,有,nan,nan,nan,nan,3,2,2,1,11,0.47918823773037894,0,0.0,1,野生动物园东站,1.0,0
1903,融创微风之城,富阳区,东洲,nan,180,12960,2024-03-26,商品房,2021-04-23,普通住宅,满两年,非共有,有抵押,已上传房本照片,4室2厅1厨2卫,低楼层(共25层),138.89,平层,69.42,板塔结合,南,钢混结构,毛坯,两梯三户,有,nan,nan,nan,nan,4,2,2,1,25,0.49982000143998856,1,0.0,0,0,1.0,0
1904,华庭云顶,富阳区,银湖科技城,nan,120,13179,2023-11-12,商品房,2019-11-11,普通住宅,满五年,非共有,有抵押,已上传房本照片,2室1厅1厨1卫,低楼层(共19层),91.06,平层,69.42,板楼,南,钢混结构,简装,两梯四户,有,nan,nan,nan,nan,2,1,1,1,19,0.7623544915440369,1,0.0,0,0,1.0,0
1905,大有清竹蓝庭,富阳区,银湖科技城,近地铁6号线(杭富线)虎啸杏站,580,23613,2024-05-27,商品房,2010-08-31,普通住宅,满五年,共有,有抵押,已上传房本照片,4室2厅1厨3卫,低楼层(共3层),245.63,跃层,69.42,板楼,南北,钢混结构,精装,nan,nan,nan,nan,nan,nan,4,2,3,1,3,0.28262020111549896,1,0.0,1,虎啸杏站,0.0,1
1906,万科富春泉水湾,富阳区,东洲,nan,180,20450,2023-10-19,商品房,2022-06-08,普通住宅,满两年,共有,无抵押,已上传房本照片,3室2厅1厨2卫,低楼层(共11层),88.02,平层,69.42,板塔结合,南北,钢混结构,精装,一梯两户,有,nan,nan,nan,nan,3,2,2,1,11,0.7886843899113838,0,0.0,0,0,1.0,1
1907,峰华花苑,富阳区,银湖科技城,nan,129,14371,2023-11-18,商品房,2010-11-23,普通住宅,满五年,非共有,有抵押,已上传房本照片,2室2厅1厨1卫,中楼层(共8层),89.77,平层,69.42,板楼,南,混合结构,精装,一梯两户,有,nan,nan,nan,nan,2,2,1,2,8,0.7733095688982957,1,0.0,0,0,1.0,0
1908,秦忆荣府北区,富阳区,富春,nan,130,13595,2023-10-20,商品房,2022-05-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,中楼层(共27层),95.63,平层,69.42,nan,南,钢混结构,毛坯,nan,nan,nan,nan,nan,nan,3,2,2,2,27,0.7259228275645718,0,0.0,0,0,0.0,0
1909,富春水岸,富阳区,江南新城,nan,148,13854,2023-10-08,商品房,2018-02-27,普通住宅,满五年,共有,有抵押,已上传房本照片,3室2厅1厨1卫,中楼层(共19层),106.83,平层,69.42,板楼,南北,钢混结构,精装,一梯四户,有,nan,nan,nan,nan,3,2,1,2,19,0.6498174670036507,1,0.0,0,0,1.0,1
1910,秦忆荣府南区,富阳区,富春,nan,148,15230,2024-04-20,商品房,2022-05-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,3室2厅1厨1卫,高楼层(共22层),97.18,平层,69.42,塔楼,南,钢混结构,毛坯,nan,nan,nan,nan,nan,nan,3,2,1,3,22,0.7143445153323729,0,0.0,0,0,0.0,0
1911,佳兆业德信云望璞园,富阳区,东洲,nan,150,15729,2024-02-27,商品房,2023-01-19,普通住宅,满两年,共有,无抵押,已上传房本照片,3室2厅1厨2卫,中楼层(共18层),95.37,平层,69.42,板楼,南,钢混结构,精装,一梯四户,有,nan,nan,nan,nan,3,2,2,2,18,0.7279018559295376,0,0.0,0,0,1.0,1
1912,野风秋雅,富阳区,银湖科技城,nan,190,16404,2025-02-16,商品房,2018-05-13,普通住宅,满五年,共有,有抵押,已上传房本照片,4室2厅1厨2卫,高楼层(共24层),115.83,平层,69.42,板楼,南,钢混结构,其他,两梯四户,有,nan,nan,nan,nan,4,2,2,3,24,0.5993265993265994,1,0.0,0,0,1.0,1
1913,云水山居,富阳区,银湖科技城,nan,148,14947,2023-09-08,商品房,2023-09-09,普通住宅,未满两年,非共有,有抵押85万元,已上传房本照片,3室2厅1厨2卫,中楼层(共8层),99.02,平层,69.42,板楼,南,钢混结构,精装,nan,无,nan,nan,nan,nan,3,2,2,2,8,0.7010704908099374,1,85.0,0,0,0.0,0
1914,野风秋雅,富阳区,银湖科技城,nan,186,20874,2024-07-15,商品房,2018-05-25,普通住宅,满五年,共有,有抵押,已上传房本照片,3室2厅1厨2卫,低楼层(共24层),89.11,平层,69.42,板楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,1,24,0.7790371451015599,1,0.0,0,0,1.0,1
1915,鹿山时代,富阳区,富阳,nan,148,17312,2024-06-25,商品房,2021-01-05,商住两用,满两年,非共有,nan,已上传房本照片,2室2厅1厨2卫,低楼层(共11层),85.49,平层,69.42,板楼,南,钢混结构,其他,四梯五十户,有,nan,民水,民电,3.1元/m3,2,2,2,1,11,0.8120247982220143,0,0.0,0,0,1.0,0
1916,和昌云栖玖著,富阳区,银湖科技城,近地铁6号线(杭富线)野生动物园东站,760,45499,2022-03-17,商品房,2021-05-25,普通住宅,满两年,共有,有抵押,已上传房本照片,4室2厅1厨3卫,低楼层(共3层),167.04,跃层,69.42,板楼,南,钢混结构,毛坯,nan,无,nan,nan,nan,nan,4,2,3,1,3,0.41558908045977017,1,0.0,1,野生动物园东站,0.0,1
1917,光明逸品春江,富阳区,鹿山新城,nan,165,17334,2021-11-11,商品房,2018-06-14,普通住宅,满五年,共有,有抵押,已上传房本照片,3室1厅1厨1卫,高楼层(共27层),95.19,平层,69.42,板楼,南,钢混结构,毛坯,两梯四户,有,nan,nan,nan,nan,3,1,1,3,27,0.7292782855341948,1,0.0,0,0,1.0,1
1918,溪畔云璟府,富阳区,银湖科技城,近地铁6号线(杭富线)高桥站,190,21787,2024-03-18,商品房,2022-08-01,普通住宅,满两年,共有,有抵押,已上传房本照片,3室2厅1厨1卫,中楼层(共25层),87.21,平层,69.42,板塔结合,南,钢结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,1,2,25,0.7960096319229447,1,0.0,1,高桥站,1.0,1
1919,华庭云顶,富阳区,银湖科技城,nan,85,9199,2024-06-23,商品房,2017-02-24,普通住宅,满五年,共有,无抵押,已上传房本照片,2室2厅1厨1卫,中楼层(共19层),92.41,平层,69.42,板楼,东南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,2,2,1,2,19,0.7512174007142085,0,0.0,0,0,1.0,1
1920,富春新天地,富阳区,富春,nan,59,14437,2023-07-20,商品房,2020-09-11,商住两用,满两年,共有,无抵押,已上传房本照片,2室2厅1厨2卫,中楼层(共20层),40.87,跃层,69.42,板楼,南,钢混结构,精装,两梯二十一户,有,nan,商水,商电,nan,2,2,2,2,20,1.698556398336188,0,0.0,0,0,1.0,1
1921,万星碧云天公寓,富阳区,富春,nan,99,21918,2022-09-16,商品房,2022-09-24,普通住宅,满两年,共有,有抵押,已上传房本照片,2室1厅1厨1卫,中楼层(共19层),45.17,跃层,69.42,塔楼,南,钢混结构,精装,两梯十六户,有,nan,nan,nan,nan,2,1,1,2,19,1.5368607482842593,1,0.0,0,0,1.0,1
1922,佳兆业德信云望璞园,富阳区,东洲,nan,180,18234,2024-03-29,商品房,2023-01-28,普通住宅,满两年,非共有,有抵押业主自还,已上传房本照片,3室2厅1厨1卫,高楼层(共18层),98.72,平层,69.42,板楼,南北,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,1,3,18,0.7032009724473258,1,0.0,0,0,1.0,0
1923,秦忆荣府北区,富阳区,富春,nan,160,12836,2024-08-18,商品房,2024-08-09,普通住宅,未满两年,非共有,无抵押,已上传房本照片,3室2厅1厨2卫,高楼层(共21层),124.65,平层,69.42,板塔结合,南,钢混结构,毛坯,nan,nan,nan,nan,nan,nan,3,2,2,3,21,0.5569193742478941,0,0.0,0,0,0.0,0
1924,溪畔云璟府,富阳区,银湖科技城,近地铁6号线(杭富线)高桥站,195,19646,2024-03-28,商品房,2023-02-15,普通住宅,满两年,共有,有抵押70万元,已上传房本照片,3室2厅1厨2卫,高楼层(共25层),99.26,平层,69.42,板塔结合,东南,钢结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,3,25,0.699375377795688,1,70.0,1,高桥站,1.0,1
1925,杭州光谷国际中心,富阳区,银湖科技城,nan,58,12838,2024-12-23,商品房,2024-06-25,商住两用,未满两年,非共有,无抵押,已上传房本照片,1室0厅0厨0卫,中楼层(共23层),45.18,平层,69.42,塔楼,南,钢混结构,其他,一梯二十四户,有,nan,未知,未知,nan,1,0,0,2,23,1.5365205843293492,0,0.0,0,0,1.0,0
1926,紫云山庄,富阳区,银湖科技城,近地铁6号线(杭富线)野生动物园东站,80,14028,2023-10-13,商品房,2023-06-29,普通住宅,未满两年,非共有,无抵押,已上传房本照片,1室1厅1厨1卫,低楼层(共3层),57.03,平层,69.42,板楼,南,钢混结构,简装,nan,无,nan,nan,nan,nan,1,1,1,1,3,1.2172540768016833,0,0.0,1,野生动物园东站,0.0,0
1927,逸城,富阳区,东洲,nan,350,21885,2023-11-16,商品房,2017-03-10,普通住宅,满五年,非共有,有抵押,已上传房本照片,4室2厅1厨2卫,低楼层(共4层),159.93,平层,69.42,板楼,南,框架结构,精装,nan,无,nan,nan,nan,nan,4,2,2,1,4,0.4340649033952354,1,0.0,0,0,0.0,0
1928,紫云山庄,富阳区,银湖科技城,近地铁6号线(杭富线)野生动物园东站,50,11247,2022-10-09,商品房,2000-10-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2室1厅1厨1卫,中楼层(共4层),44.46,平层,69.42,板楼,南,钢混结构,毛坯,nan,无,nan,nan,nan,nan,2,1,1,2,4,1.5614035087719298,0,0.0,1,野生动物园东站,0.0,0
1929,九龙山庄,富阳区,银湖科技城,nan,258,19543,2020-05-17,商品房,2009-11-20,普通住宅,满五年,共有,有抵押业主自还,已上传房本照片,3室2厅1厨2卫,高楼层(共4层),132.02,平层,69.42,板楼,南,钢混结构,简装,nan,无,nan,nan,nan,nan,3,2,2,3,4,0.5258294197848811,1,0.0,0,0,0.0,1
1930,佳兆业德信云望璞园,富阳区,东洲,nan,122,12300,2024-12-28,商品房,2024-12-30,普通住宅,未满两年,非共有,有抵押,已上传房本照片,3室2厅1厨2卫,高楼层(共18层),99.19,平层,69.42,塔楼,南,钢混结构,其他,两梯四户,有,nan,nan,nan,nan,3,2,2,3,18,0.6998689384010486,1,0.0,0,0,1.0,0
1931,佳兆业德信云望璞园,富阳区,东洲,nan,150,15621,2024-01-04,商品房,2023-04-07,普通住宅,满两年,共有,无抵押,已上传房本照片,3室2厅1厨2卫,高楼层(共18层),96.03,平层,69.42,塔楼,南北,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,3,2,2,3,18,0.7228990940331147,0,0.0,0,0,1.0,1
1932,华庭云顶,富阳区,银湖科技城,nan,50,13759,2022-09-03,商品房,2021-02-05,普通住宅,满两年,非共有,有抵押,已上传房本照片,1室0厅1厨1卫,高楼层(共24层),36.34,平层,69.42,板楼,北,钢混结构,精装,两梯十户,有,nan,nan,nan,nan,1,0,1,3,24,1.9102916895982387,1,0.0,0,0,1.0,0
1933,野风春晓,富阳区,银湖科技城,nan,98,20533,2023-02-28,商品房,2020-12-03,普通住宅,满两年,共有,有抵押,已上传房本照片,1室1厅1厨1卫,中楼层(共24层),47.73,平层,69.42,板楼,南,钢混结构,精装,一梯七户,有,nan,nan,nan,nan,1,1,1,2,24,1.454431175361408,1,0.0,0,0,1.0,1
1934,万达悦享同心湾南区,富阳区,银湖科技城,近地铁6号线(杭富线)阳陂湖站,180,17095,2023-12-21,商品房,2023-06-05,普通住宅,未满两年,共有,有抵押,已上传房本照片,4室2厅1厨2卫,高楼层(共25层),105.3,平层,69.42,板楼,南北,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,4,2,2,3,25,0.6592592592592593,1,0.0,1,阳陂湖站,1.0,1
1935,云水山居,富阳区,银湖科技城,nan,132,9810,2023-09-22,商品房,2016-12-11,普通住宅,满五年,非共有,有抵押,已上传房本照片,4室2厅1厨2卫,中楼层(共9层),134.57,平层,69.42,板楼,南北,钢混结构,简装,两梯两户,有,nan,nan,nan,nan,4,2,2,2,9,0.5158653488890541,1,0.0,0,0,1.0,0
